id,EC1,EC2
14838,0.4585925,0.8177012
14839,0.86001015,0.7771041
14840,0.8707931,0.74114555
14841,0.70377445,0.85499555
14842,0.81069577,0.7367484
14843,0.54229754,0.87821025
14844,0.5426603,0.8069156
14845,0.7011607,0.84158134
14846,0.70737374,0.8341923
14847,0.7099254,0.75455326
14848,0.80036485,0.8210086
14849,0.8764368,0.88001144
14850,0.919303,0.64712644
14851,0.58033943,0.9108332
14852,0.5673859,0.8547226
14853,0.88371825,0.55766463
14854,0.76346004,0.7705082
14855,0.6857896,0.7482605
14856,0.9199546,0.7703482
14857,0.6890626,0.72645605
14858,0.62950015,0.7652473
14859,0.8355523,0.7430528
14860,0.81414026,0.8638912
14861,0.837155,0.75408065
14862,0.7439086,0.8031266
14863,0.88722676,0.96167743
14864,0.79051626,0.80809826
14865,0.7842126,0.7006667
14866,0.72404397,0.78640074
14867,0.71643376,0.7817591
14868,0.86567277,0.7393717
14869,0.7696891,0.7915184
14870,0.721192,0.7206827
14871,0.9180685,0.8164416
14872,0.6568532,0.76096016
14873,0.833018,0.8091887
14874,0.78392667,0.77399385
14875,0.7236547,0.7490397
14876,0.3010398,0.8757094
14877,0.7331615,0.7656453
14878,0.6543914,0.82718575
14879,0.8438377,0.8068438
14880,0.780705,0.7823112
14881,0.90902364,0.7983587
14882,0.8186604,0.7580812
14883,0.8399362,0.7726411
14884,0.8576753,0.7758234
14885,0.9551999,0.7785485
14886,0.57361615,0.80787224
14887,0.9088391,0.80972266
14888,0.95309466,0.77729857
14889,0.8855184,0.7618914
14890,0.6979794,0.7509643
14891,0.8989401,0.787576
14892,0.8930327,0.7961074
14893,0.8679286,0.85605377
14894,0.602629,0.8910618
14895,0.64340305,0.8476301
14896,0.7213335,0.7868824
14897,0.81444216,0.73611695
14898,0.74566853,0.9050621
14899,0.6099009,0.8128941
14900,0.3751195,0.8890078
14901,0.7433427,0.8377276
14902,0.68574953,0.6421266
14903,0.94212395,0.69499874
14904,0.28689247,0.8764686
14905,0.6612293,0.75825125
14906,0.3998423,0.88469434
14907,0.5713865,0.7858306
14908,0.4828155,0.9057913
14909,0.8479577,0.84484667
14910,0.99708694,0.9997795
14911,0.8161884,0.7420801
14912,0.81177336,0.7622148
14913,0.5754237,0.8199445
14914,0.950446,0.750065
14915,0.6910858,0.7883644
14916,0.5284623,0.94273424
14917,0.5777062,0.7798881
14918,0.8323729,0.75579065
14919,0.8732572,0.8028367
14920,0.67168266,0.7594628
14921,0.47176886,0.80477536
14922,0.27612966,0.8629628
14923,0.6582503,0.7708605
14924,0.69648165,0.73814845
14925,0.900156,0.75550485
14926,0.43111262,0.76984894
14927,0.99998665,0.009432725
14928,0.8703798,0.7483087
14929,0.9767231,0.9985648
14930,0.7792735,0.7689267
14931,0.8479736,0.7659278
14932,0.83129907,0.8145707
14933,0.77074784,0.76310414
14934,0.6465914,0.78931767
14935,0.35221234,0.9043542
14936,0.7271747,0.7942528
14937,0.40749827,0.8531881
14938,0.44633192,0.83209276
14939,0.8159506,0.77416825
14940,0.07247431,0.85229313
14941,0.23139252,0.98272216
14942,0.5508683,0.75311387
14943,0.34054515,0.85804296
14944,0.7289193,0.8430963
14945,0.45117834,0.8184582
14946,0.47641492,0.8398903
14947,0.8388901,0.8565031
14948,0.7800761,0.8585553
14949,0.81460625,0.8253497
14950,0.957573,0.8446288
14951,0.763802,0.57879555
14952,0.7597327,0.70148015
14953,0.7776772,0.8128553
14954,0.74083173,0.752461
14955,0.62167925,0.75700015
14956,0.64462185,0.76455903
14957,0.73331374,0.75790095
14958,0.7435964,0.8111172
14959,0.5852207,0.7516484
14960,0.8384485,0.81012803
14961,0.9999793,1.0
14962,0.51447636,0.90398204
14963,0.97692007,0.8672287
14964,0.5741723,0.74957347
14965,0.79003644,0.626383
14966,0.5499881,0.9007122
14967,0.7348652,0.8637896
14968,0.7414691,0.7452556
14969,0.90206355,0.72396994
14970,0.67458075,0.74981636
14971,0.39841756,0.96605694
14972,0.8247449,0.75734615
14973,0.99999535,0.9999999
14974,0.91101146,0.7465912
14975,0.8422738,0.6882289
14976,0.7014488,0.85549587
14977,0.49222913,0.8541056
14978,0.52843535,0.82374096
14979,0.9999217,1.0
14980,0.5169886,0.8690596
14981,0.9997433,0.95713913
14982,0.7723445,0.7370532
14983,0.88663095,0.8309773
14984,0.8371094,0.75050676
14985,0.64805955,0.7164211
14986,0.8297079,0.75622416
14987,0.9133908,0.83339196
14988,0.80806386,0.7594025
14989,0.6951836,0.7605594
14990,0.8085387,0.79017943
14991,0.7309422,0.7256323
14992,0.72518694,0.80395424
14993,0.74739957,0.78123397
14994,0.84017175,0.8411461
14995,0.59500575,0.7567034
14996,0.71754086,0.8840561
14997,0.9999772,0.9750212
14998,0.72591555,0.79698646
14999,0.48212045,0.78038377
15000,0.9980563,1.0
15001,0.93767726,0.773937
15002,1.0,1.0
15003,0.8035251,0.7752009
15004,0.709967,0.7454801
15005,0.88589567,0.81275177
15006,0.8313698,0.7833447
15007,0.43510273,0.41026893
15008,0.7717381,0.8704589
15009,0.69148046,0.8177787
15010,0.64232415,0.7714706
15011,0.65599024,0.80832946
15012,0.64863825,0.9103846
15013,0.6665975,0.84333074
15014,0.6143983,0.91588783
15015,0.7238912,0.6896684
15016,0.79595107,0.7519033
15017,0.8642092,0.83182895
15018,0.7733974,0.7285135
15019,0.8526603,0.8457492
15020,0.90208775,0.72406167
15021,0.7578507,0.7536692
15022,0.6968535,0.75413245
15023,0.18324766,0.84674394
15024,0.8071597,0.773441
15025,0.84619004,0.8276392
15026,0.626793,0.89971554
15027,0.461876,0.8119101
15028,0.83741486,0.9082314
15029,0.749582,0.76906675
15030,0.56815976,0.74702334
15031,0.9993161,0.97514254
15032,0.68934554,0.16757248
15033,0.6264141,0.8530994
15034,0.6060498,0.78045464
15035,0.5303207,0.9527382
15036,0.47858715,0.7905766
15037,0.32344416,0.9815385
15038,0.7781529,0.6301734
15039,0.76242465,0.98965937
15040,0.5466018,0.7509701
15041,0.76366365,0.85835207
15042,0.5415089,0.755862
15043,0.84068173,0.7449569
15044,0.4057347,0.87913567
15045,0.40892446,0.8778611
15046,0.8260008,0.63237286
15047,0.7043624,0.9047308
15048,0.8939409,0.82318705
15049,0.8690132,0.9701078
15050,0.9230578,0.81880593
15051,0.87491435,0.8154849
15052,0.62575746,0.9999985
15053,0.86996543,0.7765091
15054,0.7424883,0.7526727
15055,0.6545526,0.76611483
15056,0.78177315,0.7675836
15057,0.85081154,0.71692425
15058,0.428075,0.9504409
15059,0.58455986,0.80235857
15060,0.8906848,0.8106106
15061,0.40234724,0.88979036
15062,0.5646711,0.7551708
15063,0.56155235,0.81018966
15064,0.48808488,0.8917607
15065,0.85922885,0.7767939
15066,0.7445104,0.8149044
15067,0.84254575,0.8320564
15068,0.66514885,0.7598594
15069,0.8775202,0.69300985
15070,0.5893823,0.75042963
15071,0.44984204,0.80470294
15072,0.40907705,0.8439288
15073,0.69268304,0.75718695
15074,0.8296697,0.71201646
15075,0.87550706,0.7266827
15076,0.72552484,0.13745545
15077,0.62638515,0.79135644
15078,0.59133166,0.83105296
15079,0.8265426,0.8108765
15080,0.788104,0.7582176
15081,0.47739306,0.7830951
15082,0.75468004,0.7486769
15083,0.4730383,0.87365836
15084,0.9879946,0.88065475
15085,0.88411885,0.8318353
15086,0.7425133,0.7043107
15087,0.73001486,0.7748345
15088,0.48134148,0.79478294
15089,0.80603397,0.73671687
15090,0.4850676,0.88047147
15091,0.71298516,0.78074634
15092,0.8341172,0.9051099
15093,0.7785126,0.63111013
15094,0.75423396,0.90729356
15095,0.60157907,0.7860256
15096,0.53662467,0.82653487
15097,0.85827684,0.8214217
15098,0.7001079,0.8837997
15099,0.7317936,0.4354994
15100,0.5219172,0.87263924
15101,0.34581882,0.78462946
15102,0.52636206,0.7568473
15103,0.72546893,0.75795084
15104,0.5020686,0.8959535
15105,0.73584,0.8479239
15106,0.833748,0.7948066
15107,0.99083936,0.000818309
15108,0.7974249,0.7385028
15109,0.19247465,0.8877579
15110,0.48949447,0.79090244
15111,0.8809581,0.8509594
15112,0.57089037,0.77813125
15113,0.8800434,0.73003566
15114,0.5977051,0.8950459
15115,0.31116968,0.8764872
15116,0.73442703,0.8261593
15117,0.5639581,0.9953892
15118,0.9013216,0.76751536
15119,0.77402365,0.7572099
15120,0.65275615,0.7517947
15121,0.9994826,4.3563243e-14
15122,0.51264226,1.0
15123,0.79853755,0.64311457
15124,0.7799346,0.73305553
15125,0.447696,0.8394945
15126,0.84341836,0.7770981
15127,0.5617324,0.7415195
15128,0.35322472,0.772097
15129,0.8489026,0.8025952
15130,0.5268247,0.93078464
15131,0.7167057,0.85803175
